#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
74,"CARNIVAL","¥$,Kanye West,Ty Dolla $ign",68,148,"rap, ","Hip Hop","VULTURES 1",2024-02-09,04:24,59,81,19,0,31,10,30,-6,C♯/D♭ Major,4,2025-02-03,4OssqCixV2Xsxd43wMIQyS,"Ye",3B,QZ7XS2400012
75,"Suffocate (feat. Poppy)","Knocked Loose,Poppy",66,170,"hardcore, metalcore, deathcore, hardcore punk, metal, ","Metal","You Won't Go Before You're Supposed To",2024-05-10,02:44,24,99,0,1,12,30,50,-3,C♯/D♭ minor Minor,4,2025-02-03,6PXYOVPBzO3xojFhQAvmde,"Pure Noise Records",12A,USSTT2400028
76,"Dilemma","Green Day",65,120,"punk, pop punk","Rock","Saviors",2024-01-19,03:18,55,89,0,0,67,0,20,-3,D Major,4,2025-02-03,4NrGMEm5SvvpJ9Tk1Rq3cP,"Reprise",10B,USRE12201093
77,"Andalucía","Luis Fonsi",64,83,"latina","","El Viaje",2024-05-17,03:29,67,53,31,0,40,0,10,-5,E Major,3,2025-02-03,3gJCWirg9qx1ze9t6B3P4P,"UMLE - Latino",12B,USUM72402710
78,"YA YA","Beyoncé",69,152,"","","COWBOY CARTER",2024-03-29,04:34,62,90,32,0,76,30,50,-5,B Major,4,2025-02-03,0K9tfzrxJyCQIf7oAlPwaK,"Parkwood Entertainment/Columbia",1B,USSM12402721
79,"Higher","Burna Boy",63,117,"afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano","Traditional music, R&B, Pop","Higher",2024-06-27,02:17,78,51,10,0,84,0,30,-9,C Major,4,2025-02-03,7fA7mrYaXVDVVGCAV65NRN,"Spaceship/ Bad Habit/Atlantic Records",8B,USAT22404336
80,"In The Room (feat. Tasha Cobbs Leonard)","Maverick City Music,Naomi Raine,Chandler Moore,Tasha Cobbs Leonard",63,104,"adoración, góspel, música cristiana","","In The Room (feat. Tasha Cobbs Leonard)",2023-10-13,09:57,47,83,10,0,34,0,20,-5,B Major,4,2025-02-03,6CDRgl9dpXRV8yaUPi931k,"Tribl Records LLC",1B,QMDA62391196
81,"Funk Rave","Anitta",63,135,"pop brasileño, funk pop, funk carioca, funk, pagode baiano","R&B, Hip Hop, Pop, Latin","Funk Generation",2024-04-26,02:27,88,79,15,0,69,0,0,-5,B minor Minor,4,2025-02-03,6vH8KKSB66dcnCw00N5K0R,"Anitta",10A,USUG12303989
82,"Ruined Me","Muni Long",62,98,"","","Ruined Me",2024-07-26,03:16,71,46,7,0,53,10,0,-8,F minor Minor,3,2025-02-03,6EPxltlaBzRzoe2tQtsyvb,"Muni Long PS/ Def Jam",4A,USUG12403894
83,"Holy Forever (Live)","Bethel Music,Jenn Johnson,CeCe Winans",61,144,"adoración, música cristiana, música cristiana contemporánea, góspel","","Holy Forever (Live)",2024-06-28,10:42,24,54,1,0,19,0,10,-7,F Major,4,2025-02-03,5txryUrKT15O1BCxIo88LR,"Bethel Music",7B,USWFE2491168
84,"Sensational (feat. Davido & Lojay)","Chris Brown,Davido,Lojay",61,100,"r&b, afrobeats, afrobeat, afropop, afropiano, azonto, amapiano, hiplife, afroswing, alté","Traditional music, R&B, Pop, Electronic","Sensational (feat. Davido & Lojay)",2023-10-20,03:51,77,61,11,0,81,10,10,-7,F#/G♭ Major,4,2025-02-03,5HM5trJxTouv3eUVcbW8sh,"Chris Brown Entertainment/RCA Records",2B,USRC12302777
85,"Right Back to It","Waxahatchee,MJ Lenderman",60,134,"chamber pop, country alternativo","Pop","Tigers Blood",2024-03-22,04:33,66,49,18,0,17,0,10,-7,F#/G♭ Major,4,2025-02-03,17Zzi8qsn8mdm0t0JTGeQo,"Anti/Epitaph",2B,USEP42346004
86,"Good Good","USHER,21 Savage,Summer Walker",60,141,"r&b","R&B","COMING HOME",2024-02-09,04:07,74,68,4,0,57,10,10,-5,G minor Minor,4,2025-02-03,3jK1QRugwuAKAKOrtac7a2,"mega/gamma.",6A,QZS7J2331813
